Room,Average Temperature
LE-001,14.974260757751013
LE-002,14.337465834644581
LE-003,14.758572342450984
LE-006,14.277880996626267
LE-007,15.130743129601514
LE-008,14.96999892693666
LE-015,12.096648251344803
LO-101,15.674436349437384
LO-102,16.243807516856478
LO-103,15.900887308187388
LO-106,16.105096053996014
LO-107,16.663595427347875
LO-108,15.251947386273608
LO-119,16.435934963025723
LO-201,16.419092713428707
LO-202,16.885740896054568
LO-203,17.0214214778134
LO-301,17.21116915653342
LO-302,17.35057855388558
LO-304,17.755714122248555
LO-305,17.113804450429253
LO-308,16.69403852672077
LO-309,17.186709040587246